Economy_Label,2005_Metric_tons_in_thousands_Value,2005_Metric_tons_MissingValue,2006_Metric_tons_in_thousands_Value,2006_Metric_tons_MissingValue,2007_Metric_tons_in_thousands_Value,2007_Metric_tons_MissingValue,2008_Metric_tons_in_thousands_Value,2008_Metric_tons_MissingValue,2009_Metric_tons_in_thousands_Value,2009_Metric_tons_MissingValue,2010_Metric_tons_in_thousands_Value,2010_Metric_tons_MissingValue,2011_Metric_tons_in_thousands_Value,2011_Metric_tons_MissingValue,2012_Metric_tons_in_thousands_Value,2012_Metric_tons_MissingValue,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_MissingValue
"World",11369,,13456,,14486,,14705,,15544,,16664,,16576,,16094,,15024,,15764,,15459,,16586,,13250,,8072,,6510,,6380,,6750,,6926,,6021,
"Africa",37,,32,,47,,58,,57,,75,,51,,51,,65,,128,,79,,63,,80,,96,,104,,85,,82,,103,,109,
"Americas",909,,896,,705,,690,,582,,642,,619,,638,,633,,714,,780,,711,,721,,724,,330,,675,,961,,787,,790,
"Asia",9073,,10872,,11845,,12284,,13082,,13601,,13325,,13102,,11763,,12654,,11493,,12977,,9579,,4086,,3059,,2851,,2507,,2406,,2270,
"Europe",1336,,1642,,1876,,1661,,1813,,2335,,2570,,2289,,2543,,2246,,3086,,2816,,2849,,3144,,3010,,2761,,3192,,3615,,2841,
"Oceania",14,,13,,13,,11,,10,,11,,12,,13,,20,,21,,22,,19,,21,,21,,8,,8,,7,,15,,12,
"Individual economies",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
"Albania",1,,2,,2,,3,,3,,5,,4,,3,,4,,,,0,,0,,,,,,,,0,,,,,,0,
"Algeria",2,,1,,2,,2,,2,,2,,3,,1,,3,,4,,6,,4,,1,,,,,,,,,,,,,
"Andorra",,,0,,0,,0,,0,,0,,0,,,,0,,,,0,,,,,,0,,0,,0,,0,,0,,0,
"Angola",0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,1,,3,,3,,2,,2,
"Antigua and Barbuda",0,,0,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,,"No value reported or collected",0,,0,
"Argentina",1,,1,,0,,0,,,,1,,,,0,,,,,,,,,,0,,0,,,,,,,,0,,2,
"Armenia",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aruba",,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Australia",11,,10,,10,,8,,6,,6,,8,,8,,12,,15,,15,,12,,14,,14,,2,,3,,1,,12,,10,
"Austria",42,,70,,131,,148,,107,,149,,217,,218,,201,,256,,249,,237,,227,,205,,232,,214,,262,,236,,223,
"Azerbaijan",0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,4,,10,,8,,12,,23,
"Bahamas",0,,23,,4,,0,,2,,3,,13,,8,,7,,5,,6,,1,,1,,12,,16,,24,,14,,0,,0,
"Bahrain",5,,2,,3,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
"Bangladesh",1,,2,,1,,2,,3,,6,,5,,3,,4,,,,13,,,,,,,,,,,,,,,,,
"Barbados",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Belarus",1,,1,,2,,2,,2,,2,,5,,5,,3,,3,,2,,3,,7,,5,,12,,3,,3,,,,,
"Belgium",177,,265,,296,,308,,362,,172,,207,,246,,244,,200,,212,,212,,203,,215,,211,,203,,161,,306,,31,
"Belize",0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Benin",0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,,"No value reported or collected",,,0,,1,
"Bermuda",,,,,,,,,,,0,,0,,,"No value reported or collected",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Bhutan",0,,0,,0,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
"Bolivia (Plurinational State of)",1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,2,,1,,1,,0,,0,
"Bosnia and Herzegovina",1,,1,,1,,1,,2,,3,,3,,2,,3,,3,,2,,2,,1,,2,,4,,8,,1,,2,,1,
"Botswana",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,,0,,0,
"Brazil",8,,5,,1,,14,,9,,9,,8,,5,,6,,4,,4,,4,,5,,5,,6,,8,,6,,7,,7,
"Brunei Darussalam",,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Bulgaria",8,,5,,5,,7,,7,,11,,9,,6,,12,,16,,28,,37,,17,,45,,49,,39,,53,,75,,16,
"Burkina Faso",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Burundi",,,,,,,,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Cabo Verde",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Cambodia",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,
"Cameroon",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,
"Canada",223,,218,,196,,171,,136,,156,,160,,162,,151,,195,,259,,180,,150,,151,,172,,181,,192,,165,,167,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,
"Central African Republic",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,,
"Chile",2,,4,,4,,4,,7,,9,,1,,6,,6,,11,,5,,5,,1,,9,,3,,5,,4,,3,,3,
"China",5055,,5941,,7018,,7157,,7386,,8089,,8457,,8946,,7935,,8298,,7392,,8820,,5869,,51,,1,,0,,,,,,,
"China, Hong Kong SAR",3505,,4425,,4148,,4509,,4757,,4798,,3964,,3203,,2508,,3082,,2866,,2878,,1889,,598,,607,,298,,88,,47,,25,
"China, Macao SAR",0,,0,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,
"China, Taiwan Province of",114,,111,,132,,158,,127,,158,,162,,158,,208,,209,,226,,183,,207,,434,,353,,288,,244,,241,,233,
"Colombia",2,,3,,3,,2,,2,,2,,2,,2,,2,,5,,14,,23,,34,,10,,8,,7,,10,,7,,4,
"Comoros",,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,
"Congo",,,,,0,,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Costa Rica",4,,6,,5,,4,,4,,7,,6,,5,,7,,8,,9,,10,,9,,7,,4,,3,,4,,5,,5,
"Cote d'Ivoire",1,,1,,3,,4,,6,,5,,6,,7,,9,,4,,0,,0,,,,,,,,0,,0,,0,,0,
"Croatia",1,,2,,2,,3,,5,,4,,4,,7,,13,,13,,12,,22,,23,,11,,38,,37,,22,,29,,49,
"Cuba",0,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,,
