Economy_Label,2005_Metric_tons_in_thousands_Value,2005_Metric_tons_MissingValue,2006_Metric_tons_in_thousands_Value,2006_Metric_tons_MissingValue,2007_Metric_tons_in_thousands_Value,2007_Metric_tons_MissingValue,2008_Metric_tons_in_thousands_Value,2008_Metric_tons_MissingValue,2009_Metric_tons_in_thousands_Value,2009_Metric_tons_MissingValue,2010_Metric_tons_in_thousands_Value,2010_Metric_tons_MissingValue,2011_Metric_tons_in_thousands_Value,2011_Metric_tons_MissingValue,2012_Metric_tons_in_thousands_Value,2012_Metric_tons_MissingValue,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_MissingValue
"World",9978,,11505,,12684,,13770,,14699,,15869,,15104,,15252,,13133,,15600,,14350,,12734,,12218,,8065,,6886,,5580,,5603,,5589,,5416,
"Africa",40,,41,,52,,42,,56,,70,,82,,100,,148,,147,,134,,114,,136,,108,,99,,160,,171,,170,,147,
"Americas",1810,,1815,,2210,,2513,,2764,,2856,,3004,,2999,,2834,,3467,,2927,,871,,2450,,1737,,1168,,868,,551,,672,,746,
"Asia",5272,,6291,,6716,,6937,,6895,,7351,,6874,,6574,,5167,,6578,,6064,,6104,,5031,,2283,,1799,,1387,,1065,,1258,,1323,
"Europe",2744,,3227,,3569,,4116,,4738,,5395,,4946,,5341,,4785,,5173,,4971,,5393,,4413,,3776,,3743,,3042,,3743,,3393,,3105,
"Oceania",113,,131,,137,,164,,246,,197,,198,,239,,199,,235,,254,,252,,188,,161,,76,,124,,74,,96,,94,
"Individual economies",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
"Albania",0,,1,,1,,1,,1,,2,,5,,3,,3,,0,,2,,4,,,,,,,,,,,,,,,
"Algeria",0,,,,,,,,0,,1,,1,,3,,5,,4,,2,,1,,2,,,,,,,,,,,,,
"Andorra",1,,3,,3,,2,,2,,2,,3,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,3,,4,
"Angola",,,,,,,0,,,,,,,,,,,,,,1,,1,,2,,0,,0,,0,,0,,0,,0,
"Antigua and Barbuda",0,,,,0,,,,0,,0,,0,,,,0,,,,0,,0,,0,,0,,,,,,0,,0,,,
"Argentina",35,,46,,54,,53,,41,,38,,37,,26,,20,,16,,10,,6,,3,,0,,,,,,,,,,,
"Armenia",0,,,,,,,,,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,"No value reported or collected",0,
"Aruba",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,
"Australia",88,,100,,104,,126,,205,,156,,151,,193,,155,,186,,206,,200,,146,,122,,37,,101,,53,,74,,65,
"Austria",83,,98,,87,,88,,107,,101,,134,,171,,173,,182,,81,,149,,160,,177,,190,,179,,174,,174,,166,
"Azerbaijan",0,,1,,1,,1,,0,,0,,0,,1,,0,,,,,,0,,0,,0,,0,,0,,2,,2,,0,
"Bahamas",0,,,,0,,,,1,,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,,"No value reported or collected",,,,
"Bahrain",1,,0,,0,,0,,0,,2,,2,,3,,2,,3,,1,,2,,1,,1,,1,,1,,0,,1,,,"No value reported or collected"
